Fecha,Provincia,Tecnología,Accesos
2024-04-01,Buenos Aires,Dial up,5900.0
2024-04-01,Capital Federal,Dial up,2050.0
2024-04-01,Catamarca,Dial up,1.0
2024-04-01,Chaco,Dial up,5.0
2024-04-01,Chubut,Dial up,857.0
2024-04-01,Córdoba,Dial up,63.0
2024-04-01,Corrientes,Dial up,3.0
2024-04-01,Entre Ríos,Dial up,20.0
2024-04-01,Formosa,Dial up,0.0
2024-04-01,Jujuy,Dial up,0.0
2024-04-01,La Pampa,Dial up,162.0
2024-04-01,La Rioja,Dial up,4.0
2024-04-01,Mendoza,Dial up,730.0
2024-04-01,Misiones,Dial up,0.0
2024-04-01,Neuquén,Dial up,439.0
2024-04-01,Río Negro,Dial up,515.0
2024-04-01,Salta,Dial up,5.0
2024-04-01,San Juan,Dial up,247.0
2024-04-01,San Luis,Dial up,165.0
2024-04-01,Santa Cruz,Dial up,187.0
2024-04-01,Santa Fe,Dial up,106.0
2024-04-01,Santiago Del Estero,Dial up,2.0
2024-04-01,Tierra Del Fuego,Dial up,305.0
2024-04-01,Tucumán,Dial up,27.0
2024-01-01,Buenos Aires,Dial up,5900.0
2024-01-01,Capital Federal,Dial up,2050.0
2024-01-01,Catamarca,Dial up,1.0
2024-01-01,Chaco,Dial up,5.0
2024-01-01,Chubut,Dial up,857.0
2024-01-01,Córdoba,Dial up,63.0
2024-01-01,Corrientes,Dial up,3.0
2024-01-01,Entre Ríos,Dial up,20.0
2024-01-01,Formosa,Dial up,0.0
2024-01-01,Jujuy,Dial up,0.0
2024-01-01,La Pampa,Dial up,162.0
2024-01-01,La Rioja,Dial up,4.0
2024-01-01,Mendoza,Dial up,730.0
2024-01-01,Misiones,Dial up,0.0
2024-01-01,Neuquén,Dial up,439.0
2024-01-01,Río Negro,Dial up,515.0
2024-01-01,Salta,Dial up,5.0
2024-01-01,San Juan,Dial up,247.0
2024-01-01,San Luis,Dial up,165.0
2024-01-01,Santa Cruz,Dial up,187.0
2024-01-01,Santa Fe,Dial up,106.0
2024-01-01,Santiago Del Estero,Dial up,2.0
2024-01-01,Tierra Del Fuego,Dial up,305.0
2024-01-01,Tucumán,Dial up,27.0
2023-10-01,Buenos Aires,Dial up,5900.0
2023-10-01,Capital Federal,Dial up,2050.0
2023-10-01,Catamarca,Dial up,1.0
2023-10-01,Chaco,Dial up,5.0
2023-10-01,Chubut,Dial up,857.0
2023-10-01,Córdoba,Dial up,63.0
2023-10-01,Corrientes,Dial up,3.0
2023-10-01,Entre Ríos,Dial up,20.0
2023-10-01,Formosa,Dial up,0.0
2023-10-01,Jujuy,Dial up,0.0
2023-10-01,La Pampa,Dial up,162.0
2023-10-01,La Rioja,Dial up,4.0
2023-10-01,Mendoza,Dial up,730.0
2023-10-01,Misiones,Dial up,0.0
2023-10-01,Neuquén,Dial up,439.0
2023-10-01,Río Negro,Dial up,515.0
2023-10-01,Salta,Dial up,5.0
2023-10-01,San Juan,Dial up,247.0
2023-10-01,San Luis,Dial up,165.0
2023-10-01,Santa Cruz,Dial up,187.0
2023-10-01,Santa Fe,Dial up,106.0
2023-10-01,Santiago Del Estero,Dial up,2.0
2023-10-01,Tierra Del Fuego,Dial up,305.0
2023-10-01,Tucumán,Dial up,27.0
2023-07-01,Buenos Aires,Dial up,5900.0
2023-07-01,Capital Federal,Dial up,2050.0
2023-07-01,Catamarca,Dial up,1.0
2023-07-01,Chaco,Dial up,5.0
2023-07-01,Chubut,Dial up,857.0
2023-07-01,Córdoba,Dial up,63.0
2023-07-01,Corrientes,Dial up,3.0
2023-07-01,Entre Ríos,Dial up,20.0
2023-07-01,Formosa,Dial up,0.0
2023-07-01,Jujuy,Dial up,0.0
2023-07-01,La Pampa,Dial up,162.0
2023-07-01,La Rioja,Dial up,4.0
2023-07-01,Mendoza,Dial up,730.0
2023-07-01,Misiones,Dial up,0.0
2023-07-01,Neuquén,Dial up,439.0
2023-07-01,Río Negro,Dial up,515.0
2023-07-01,Salta,Dial up,5.0
2023-07-01,San Juan,Dial up,247.0
2023-07-01,San Luis,Dial up,165.0
2023-07-01,Santa Cruz,Dial up,187.0
2023-07-01,Santa Fe,Dial up,106.0
2023-07-01,Santiago Del Estero,Dial up,2.0
2023-07-01,Tierra Del Fuego,Dial up,305.0
2023-07-01,Tucumán,Dial up,27.0
2023-04-01,Buenos Aires,Dial up,6046.0
2023-04-01,Capital Federal,Dial up,2100.0
2023-04-01,Catamarca,Dial up,1.0
2023-04-01,Chaco,Dial up,5.0
2023-04-01,Chubut,Dial up,883.0
2023-04-01,Córdoba,Dial up,65.0
2023-04-01,Corrientes,Dial up,4.0
2023-04-01,Entre Ríos,Dial up,20.0
2023-04-01,Formosa,Dial up,0.0
2023-04-01,Jujuy,Dial up,0.0
2023-04-01,La Pampa,Dial up,166.0
2023-04-01,La Rioja,Dial up,4.0
2023-04-01,Mendoza,Dial up,755.0
2023-04-01,Misiones,Dial up,0.0
2023-04-01,Neuquén,Dial up,457.0
2023-04-01,Río Negro,Dial up,531.0
2023-04-01,Salta,Dial up,5.0
2023-04-01,San Juan,Dial up,260.0
2023-04-01,San Luis,Dial up,173.0
2023-04-01,Santa Cruz,Dial up,192.0
2023-04-01,Santa Fe,Dial up,108.0
2023-04-01,Santiago Del Estero,Dial up,2.0
2023-04-01,Tierra Del Fuego,Dial up,310.0
2023-04-01,Tucumán,Dial up,29.0
2023-01-01,Buenos Aires,Dial up,6199.0
2023-01-01,Capital Federal,Dial up,2145.0
2023-01-01,Catamarca,Dial up,1.0
2023-01-01,Chaco,Dial up,5.0
2023-01-01,Chubut,Dial up,904.0
2023-01-01,Córdoba,Dial up,68.0
2023-01-01,Corrientes,Dial up,4.0
2023-01-01,Entre Ríos,Dial up,22.0
2023-01-01,Formosa,Dial up,0.0
2023-01-01,Jujuy,Dial up,0.0
2023-01-01,La Pampa,Dial up,171.0
2023-01-01,La Rioja,Dial up,4.0
2023-01-01,Mendoza,Dial up,777.0
2023-01-01,Misiones,Dial up,0.0
2023-01-01,Neuquén,Dial up,468.0
2023-01-01,Río Negro,Dial up,548.0
2023-01-01,Salta,Dial up,5.0
2023-01-01,San Juan,Dial up,281.0
2023-01-01,San Luis,Dial up,182.0
2023-01-01,Santa Cruz,Dial up,198.0
2023-01-01,Santa Fe,Dial up,110.0
2023-01-01,Santiago Del Estero,Dial up,2.0
2023-01-01,Tierra Del Fuego,Dial up,312.0
2023-01-01,Tucumán,Dial up,30.0
2022-10-01,Buenos Aires,Dial up,6199.0
2022-10-01,Capital Federal,Dial up,2145.0
2022-10-01,Catamarca,Dial up,1.0
2022-10-01,Chaco,Dial up,5.0
2022-10-01,Chubut,Dial up,904.0
2022-10-01,Córdoba,Dial up,68.0
2022-10-01,Corrientes,Dial up,4.0
2022-10-01,Entre Ríos,Dial up,22.0
2022-10-01,Formosa,Dial up,0.0
2022-10-01,Jujuy,Dial up,0.0
2022-10-01,La Pampa,Dial up,171.0
2022-10-01,La Rioja,Dial up,4.0
2022-10-01,Mendoza,Dial up,777.0
2022-10-01,Misiones,Dial up,0.0
2022-10-01,Neuquén,Dial up,468.0
2022-10-01,Río Negro,Dial up,548.0
2022-10-01,Salta,Dial up,5.0
2022-10-01,San Juan,Dial up,281.0
2022-10-01,San Luis,Dial up,192.0
2022-10-01,Santa Cruz,Dial up,198.0
2022-10-01,Santa Fe,Dial up,110.0
2022-10-01,Santiago Del Estero,Dial up,2.0
2022-10-01,Tierra Del Fuego,Dial up,312.0
2022-10-01,Tucumán,Dial up,30.0
2022-07-01,Buenos Aires,Dial up,6199.0
2022-07-01,Capital Federal,Dial up,2145.0
2022-07-01,Catamarca,Dial up,1.0
2022-07-01,Chaco,Dial up,5.0
2022-07-01,Chubut,Dial up,904.0
2022-07-01,Córdoba,Dial up,68.0
2022-07-01,Corrientes,Dial up,4.0
2022-07-01,Entre Ríos,Dial up,22.0
2022-07-01,Formosa,Dial up,1.0
2022-07-01,Jujuy,Dial up,0.0
2022-07-01,La Pampa,Dial up,171.0
2022-07-01,La Rioja,Dial up,4.0
2022-07-01,Mendoza,Dial up,777.0
2022-07-01,Misiones,Dial up,0.0
2022-07-01,Neuquén,Dial up,468.0
2022-07-01,Río Negro,Dial up,548.0
2022-07-01,Salta,Dial up,5.0
2022-07-01,San Juan,Dial up,281.0
2022-07-01,San Luis,Dial up,182.0
2022-07-01,Santa Cruz,Dial up,198.0
2022-07-01,Santa Fe,Dial up,110.0
2022-07-01,Santiago Del Estero,Dial up,2.0
2022-07-01,Tierra Del Fuego,Dial up,312.0
2022-07-01,Tucumán,Dial up,30.0
2022-04-01,Buenos Aires,Dial up,6199.0
2022-04-01,Capital Federal,Dial up,2145.0
2022-04-01,Catamarca,Dial up,1.0
2022-04-01,Chaco,Dial up,5.0
2022-04-01,Chubut,Dial up,904.0
2022-04-01,Córdoba,Dial up,68.0
2022-04-01,Corrientes,Dial up,4.0
2022-04-01,Entre Ríos,Dial up,22.0
2022-04-01,Formosa,Dial up,0.0
2022-04-01,Jujuy,Dial up,0.0
2022-04-01,La Pampa,Dial up,171.0
