,Año,Trimestre,Ingresos (miles de pesos),Inflacion_Trimestral,Fecha,Inflacion_Compuesta,Ingresos_Reales (miles de pesos)
0,2017,1,8701201.42137,1.0622320639999998,2017-01-01,1.0622320639999998,8191431.718417795
1,2017,2,9678646.92829,1.053874536,2017-04-01,1.119459323572322,8645822.786489764
2,2017,3,10065997.86215,1.0508315219999997,2017-07-01,1.1763631448065934,8556879.65624336
3,2017,4,11226127.38858,1.0611155099999998,2017-10-01,1.248257178346652,8993441.081948584
4,2018,1,13171459.2308934,1.0664079359999998,2018-01-01,1.331151361157837,9894787.035665764
5,2018,2,14319467.4607138,1.0873639789999998,2018-04-01,1.4474460407198513,9892919.70676321
6,2018,3,15410980.692583,1.1408375849999999,2018-07-01,1.6513008455126466,9332630.534564197
7,2018,4,16637686.5890096,1.116008928,2018-10-01,1.8428664864060624,9028156.251002334
8,2019,1,20207413.7708524,1.1183027939999999,2019-01-01,2.0608827407168624,9805222.476570116
9,2019,2,20743117.6940061,1.0948374579999998,2019-04-01,2.256331621082522,9193292.998328924
10,2019,3,21652748.4446425,1.12558992,2019-07-01,2.539704128867746,8525697.225328272
11,2019,4,24169250.6990153,1.117283503,2019-10-01,2.8375695256849185,8517588.90143192
12,2020,1,29946216.4520491,1.0778941799999997,2020-01-01,3.0585996770811334,9790825.741741793
13,2020,2,32102475.9914636,1.0528899499999997,2020-04-01,3.22036886107197,9968571.109825473
14,2020,3,31997444.5306992,1.0758153639999999,2020-07-01,3.464522298488406,9235745.010115795
15,2020,4,33539702.7163118,1.1140646400000003,2020-10-01,3.8597017872374595,8689713.49735221
16,2021,1,36676371.3623924,1.1291571200000001,2021-01-01,4.358209754135903,8415467.228851674
17,2021,2,38239666.6335425,1.1097642959999998,2021-04-01,4.836585579618962,7906335.162285108
18,2021,3,42999944.2928225,1.09270125,2021-07-01,5.284943108581614,8136311.670602436
19,2021,4,45467887.1650125,1.1011882499999999,2021-10-01,5.819717253088547,7812731.304236905
20,2022,1,55219313.0146503,1.1607178109999998,2022-01-01,6.75504947064387,8174523.851323767
21,2022,2,60419500.6232803,1.17310518,2022-04-01,7.924383525168583,7624504.850299372
22,2022,3,64086784.3305304,1.2204291600000001,2022-07-01,9.671148729139334,6626594.846735821
23,2022,4,72443482.9891497,1.171956437,2022-10-01,11.334165006299212,6391602.994035083
24,2023,2,118060280.28,1.21696692,2023-04-01,13.793303878487732,8559245.944267841
25,2023,3,133106593.41,1.2386651200000003,2023-07-01,17.085284403843477,7790715.698010655
26,2023,4,167376014.8,1.346553124,2023-10-01,23.00624308842391,7275243.252742073
27,2024,1,346198986.13,1.5331381199999998,2024-01-01,35.27174827684922,9815192.130899543
28,2024,2,442032166.69,1.5153631200000004,2024-04-01,53.449506516660875,8270088.827709066
