Año,Trimestre,Ingresos (miles de pesos),Inflacion_Trimestral,Fecha,Inflacion_Compuesta,Ingresos_Reales (miles de pesos)
2017,1,8701201.421,1.062,2017-01-01,1.062,8191431.718
2017,2,9678646.928,1.054,2017-04-01,1.119,8645822.786
2017,3,10065997.862,1.051,2017-07-01,1.176,8556879.656
2017,4,11226127.389,1.061,2017-10-01,1.248,8993441.082
2018,1,13171459.231,1.066,2018-01-01,1.331,9894787.036
2018,2,14319467.461,1.087,2018-04-01,1.447,9892919.707
2018,3,15410980.693,1.141,2018-07-01,1.651,9332630.535
2018,4,16637686.589,1.116,2018-10-01,1.843,9028156.251
2019,1,20207413.771,1.118,2019-01-01,2.061,9805222.477
2019,2,20743117.694,1.095,2019-04-01,2.256,9193292.998
2019,3,21652748.445,1.126,2019-07-01,2.540,8525697.225
2019,4,24169250.699,1.117,2019-10-01,2.838,8517588.901
2020,1,29946216.452,1.078,2020-01-01,3.059,9790825.742
2020,2,32102475.991,1.053,2020-04-01,3.220,9968571.110
2020,3,31997444.531,1.076,2020-07-01,3.465,9235745.010
2020,4,33539702.716,1.114,2020-10-01,3.860,8689713.497
2021,1,36676371.362,1.129,2021-01-01,4.358,8415467.229
2021,2,38239666.634,1.110,2021-04-01,4.837,7906335.162
2021,3,42999944.293,1.093,2021-07-01,5.285,8136311.671
2021,4,45467887.165,1.101,2021-10-01,5.820,7812731.304
2022,1,55219313.015,1.161,2022-01-01,6.755,8174523.851
2022,2,60419500.623,1.173,2022-04-01,7.924,7624504.850
2022,3,64086784.331,1.220,2022-07-01,9.671,6626594.847
2022,4,72443482.989,1.172,2022-10-01,11.334,6391602.994
2023,1,104134992.810,1.217,2023-01-01,13.793,7549677.273
2023,2,118060280.280,1.239,2023-04-01,17.085,6910056.484
2023,3,133106593.410,1.347,2023-07-01,23.006,5785672.737
2023,4,167376014.800,1.533,2023-10-01,35.272,4745328.003
2024,1,346198986.130,1.515,2024-01-01,53.450,6477122.217
2024,2,442032166.690,1.186,2024-04-01,63.383,6973998.914
