Año,Trimestre,Ingresos (miles de pesos),Inflacion_Trimestral,Fecha,Inflacion_Compuesta,Ingresos_Reales (miles de pesos)
2017,1,31205565.000,1.062,2017-01-01,1.062,29377351.765
2017,2,33509264.000,1.054,2017-04-01,1.119,29933435.985
2017,3,35711689.000,1.051,2017-07-01,1.176,30357708.126
2017,4,38110028.000,1.061,2017-10-01,1.248,30530589.899
2018,1,38733946.000,1.066,2018-01-01,1.331,29098077.897
2018,2,40653502.000,1.087,2018-04-01,1.447,28086367.890
2018,3,43280089.000,1.141,2018-07-01,1.651,26209693.477
2018,4,44026803.000,1.116,2018-10-01,1.843,23890392.128
2019,1,50246691.000,1.118,2019-01-01,2.061,24381149.887
2019,2,55338816.000,1.095,2019-04-01,2.256,24526011.816
2019,3,60905891.000,1.126,2019-07-01,2.540,23981490.721
2019,4,65388842.000,1.117,2019-10-01,2.838,23043961.182
2020,1,72077147.000,1.078,2020-01-01,3.059,23565407.248
2020,2,73538944.000,1.053,2020-04-01,3.220,22835565.481
2020,3,79634755.000,1.076,2020-07-01,3.465,22985782.206
2020,4,83479114.000,1.114,2020-10-01,3.860,21628384.420
2021,1,93112153.000,1.129,2021-01-01,4.358,21364770.916
2021,2,104782020.000,1.110,2021-04-01,4.837,21664461.070
2021,3,117751925.000,1.093,2021-07-01,5.285,22280641.926
2021,4,127389786.000,1.101,2021-10-01,5.820,21889342.808
2022,1,130454676.000,1.161,2022-01-01,6.755,19312171.816
2022,2,153032313.000,1.173,2022-04-01,7.924,19311573.262
2022,3,180356862.000,1.220,2022-07-01,9.671,18648959.607
2022,4,216233244.000,1.172,2022-10-01,11.334,19078003.883
2023,1,257558366.000,1.217,2023-01-01,13.793,18672710.198
2023,2,307337085.000,1.239,2023-04-01,17.085,17988409.074
2023,3,380119973.000,1.347,2023-07-01,23.006,16522470.511
2023,4,515335742.000,1.533,2023-10-01,35.272,14610439.436
2024,1,769485386.000,1.515,2024-01-01,53.450,14396491.870
2024,2,1108472514.000,1.186,2024-04-01,63.383,17488514.844
