,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Fecha
0,2024,2,Buenos Aires,79.84,2024-04-01
1,2024,2,Capital Federal,116.37,2024-04-01
2,2024,2,Catamarca,68.81,2024-04-01
3,2024,2,Chaco,44.06,2024-04-01
4,2024,2,Chubut,86.33,2024-04-01
5,2024,2,Córdoba,90.79,2024-04-01
6,2024,2,Corrientes,51.38,2024-04-01
7,2024,2,Entre Ríos,68.64,2024-04-01
8,2024,2,Formosa,39.69,2024-04-01
9,2024,2,Jujuy,58.3,2024-04-01
10,2024,2,La Pampa,101.17,2024-04-01
11,2024,2,La Rioja,79.52,2024-04-01
12,2024,2,Mendoza,52.3,2024-04-01
13,2024,2,Misiones,57.73,2024-04-01
14,2024,2,Neuquén,78.93,2024-04-01
15,2024,2,Río Negro,71.35,2024-04-01
16,2024,2,Salta,55.72,2024-04-01
17,2024,2,San Juan,51.17,2024-04-01
18,2024,2,San Luis,103.4,2024-04-01
19,2024,2,Santa Cruz,69.92,2024-04-01
20,2024,2,Santa Fe,81.34,2024-04-01
21,2024,2,Santiago Del Estero,49.67,2024-04-01
22,2024,2,Tierra Del Fuego,108.89,2024-04-01
23,2024,2,Tucumán,60.84,2024-04-01
24,2024,1,Buenos Aires,81.1,2024-01-01
25,2024,1,Capital Federal,119.53,2024-01-01
26,2024,1,Catamarca,68.82,2024-01-01
27,2024,1,Chaco,46.7,2024-01-01
28,2024,1,Chubut,84.89,2024-01-01
29,2024,1,Córdoba,90.7,2024-01-01
30,2024,1,Corrientes,51.94,2024-01-01
31,2024,1,Entre Ríos,69.31,2024-01-01
32,2024,1,Formosa,39.61,2024-01-01
33,2024,1,Jujuy,57.65,2024-01-01
34,2024,1,La Pampa,100.49,2024-01-01
35,2024,1,La Rioja,80.03,2024-01-01
36,2024,1,Mendoza,52.59,2024-01-01
37,2024,1,Misiones,56.76,2024-01-01
38,2024,1,Neuquén,79.5,2024-01-01
39,2024,1,Río Negro,71.14,2024-01-01
40,2024,1,Salta,56.3,2024-01-01
41,2024,1,San Juan,51.62,2024-01-01
42,2024,1,San Luis,102.7,2024-01-01
43,2024,1,Santa Cruz,67.58,2024-01-01
44,2024,1,Santa Fe,80.4,2024-01-01
45,2024,1,Santiago Del Estero,49.41,2024-01-01
46,2024,1,Tierra Del Fuego,109.78,2024-01-01
47,2024,1,Tucumán,60.48,2024-01-01
48,2023,4,Buenos Aires,80.96,2023-10-01
49,2023,4,Capital Federal,117.02,2023-10-01
50,2023,4,Catamarca,68.63,2023-10-01
51,2023,4,Chaco,44.35,2023-10-01
52,2023,4,Chubut,84.96,2023-10-01
53,2023,4,Córdoba,90.67,2023-10-01
54,2023,4,Corrientes,52.56,2023-10-01
55,2023,4,Entre Ríos,69.94,2023-10-01
56,2023,4,Formosa,39.23,2023-10-01
57,2023,4,Jujuy,57.78,2023-10-01
58,2023,4,La Pampa,99.96,2023-10-01
59,2023,4,La Rioja,80.22,2023-10-01
60,2023,4,Mendoza,52.15,2023-10-01
61,2023,4,Misiones,56.27,2023-10-01
62,2023,4,Neuquén,79.91,2023-10-01
63,2023,4,Río Negro,70.26,2023-10-01
64,2023,4,Salta,56.98,2023-10-01
65,2023,4,San Juan,50.08,2023-10-01
66,2023,4,San Luis,102.07,2023-10-01
