,Año,Trimestre,Provincia,Mbps (Media de bajada),Fecha
0,2024,2,Buenos Aires,157.41,2024-04-01
1,2024,2,Capital Federal,233.01,2024-04-01
2,2024,2,Catamarca,97.38,2024-04-01
3,2024,2,Chaco,107.76,2024-04-01
4,2024,2,Chubut,21.67,2024-04-01
5,2024,2,Córdoba,117.39,2024-04-01
6,2024,2,Corrientes,104.26,2024-04-01
7,2024,2,Entre Ríos,100.98,2024-04-01
8,2024,2,Formosa,82.66,2024-04-01
9,2024,2,Jujuy,49.87,2024-04-01
10,2024,2,La Pampa,28.73,2024-04-01
11,2024,2,La Rioja,64.24,2024-04-01
12,2024,2,Mendoza,55.32,2024-04-01
13,2024,2,Misiones,96.15,2024-04-01
14,2024,2,Neuquén,97.04,2024-04-01
15,2024,2,Río Negro,75.05,2024-04-01
16,2024,2,Salta,87.03,2024-04-01
17,2024,2,San Juan,32.17,2024-04-01
18,2024,2,San Luis,181.61,2024-04-01
19,2024,2,Santa Cruz,29.89,2024-04-01
20,2024,2,Santa Fe,102.51,2024-04-01
21,2024,2,Santiago Del Estero,48.95,2024-04-01
22,2024,2,Tierra Del Fuego,22.09,2024-04-01
23,2024,2,Tucumán,108.93,2024-04-01
24,2024,1,Buenos Aires,159.13,2024-01-01
25,2024,1,Capital Federal,229.94,2024-01-01
26,2024,1,Catamarca,91.45,2024-01-01
27,2024,1,Chaco,107.51,2024-01-01
28,2024,1,Chubut,20.5,2024-01-01
29,2024,1,Córdoba,114.89,2024-01-01
30,2024,1,Corrientes,102.49,2024-01-01
31,2024,1,Entre Ríos,101.36,2024-01-01
32,2024,1,Formosa,83.8,2024-01-01
33,2024,1,Jujuy,47.52,2024-01-01
34,2024,1,La Pampa,26.55,2024-01-01
35,2024,1,La Rioja,63.71,2024-01-01
36,2024,1,Mendoza,51.85,2024-01-01
37,2024,1,Misiones,94.98,2024-01-01
38,2024,1,Neuquén,98.16,2024-01-01
39,2024,1,Río Negro,75.0,2024-01-01
40,2024,1,Salta,84.34,2024-01-01
41,2024,1,San Juan,30.58,2024-01-01
42,2024,1,San Luis,179.49,2024-01-01
43,2024,1,Santa Cruz,31.6,2024-01-01
44,2024,1,Santa Fe,100.2,2024-01-01
45,2024,1,Santiago Del Estero,44.9,2024-01-01
46,2024,1,Tierra Del Fuego,21.54,2024-01-01
47,2024,1,Tucumán,103.36,2024-01-01
48,2023,4,Buenos Aires,158.49,2023-10-01
49,2023,4,Capital Federal,234.44,2023-10-01
50,2023,4,Catamarca,89.4,2023-10-01
51,2023,4,Chaco,107.14,2023-10-01
52,2023,4,Chubut,20.29,2023-10-01
53,2023,4,Córdoba,114.03,2023-10-01
54,2023,4,Corrientes,100.9,2023-10-01
55,2023,4,Entre Ríos,101.18,2023-10-01
56,2023,4,Formosa,83.35,2023-10-01
